title,ML_precision,ML_recall,ML_f1_score,opencv_basic_method_precision,opencv_basic_method_recall,opencv_basic_method_f1_score,opencv_advanced_method_precision,opencv_advanced_method_recall,opencv_advanced_method_f1_score
LAMISSEB_LESNOEILS1_016,0.9368225986802388,0.8793958854453098,0.9072013591671338,0.9058366006821587,0.8122007565229904,0.8564670253237241,0.2769421805285913,0.7860407907419563,0.40957918697850937
LAMISSEB_LESNOEILS1_020,0.9487025068242823,0.8064421926676518,0.8718070139905157,0.7616171884422543,0.1555256491450285,0.25830438352242013,0.6058745435385433,0.8369652030117515,0.702913697165346
LAMISSEB_LESNOEILS1_024,0.9174448431118791,0.8073410011224814,0.8588786145115866,0.9658970912930787,0.603817255116974,0.7430974071478628,0.19279639885194297,0.8462636917499663,0.3140464997631282
LUBBIN_LESBULLESDULABO_001,0.6770708067845284,0.6599256505576209,0.6683882970476845,0.07970436768730203,0.25884102339820686,0.12187884192035783,0.0,0.0,0.0
LUBBIN_LESBULLESDULABO_005,0.6847946318148237,0.6180978204807026,0.6497390765536806,0.05405900577053679,0.14457551688059064,0.07869335699568362,0.1310523587350959,0.009313429316671333,0.017390945426277664
MCCALL_ROBINHOOD_T31_005,0.9853225137477402,0.4957311636535368,0.6596048256282789,0.36362839125270063,0.04553991219706039,0.08094275568459106,0.8043233337640577,0.7520001278005034,0.7772821842259521
MCCALL_ROBINHOOD_T31_010,0.9630924080021132,0.41837698510476906,0.5833436485060682,0.5979461157424187,0.05977901139729151,0.1086916895614954,0.780656100492752,0.5922509046811513,0.6735259999684071
MCCALL_ROBINHOOD_T31_015,0.9883083532467919,0.29438332099056524,0.4536421355732129,0.22128071032740354,0.023559742871913064,0.042585418951041676,0.592909484619838,0.615596388162898,0.6040399893118528
MCCALL_ROBINHOOD_T31_020,0.957491432339809,0.1436726417389894,0.24985436187934537,0.1886212842737561,0.053587476680996025,0.08346303108703562,0.49755725971201553,0.4895190201962852,0.493505410318241
MCCAY_LITTLENEMO_025,0.21735861630008074,0.5322879290324606,0.30867178258363914,0.09930967037735082,0.6129476007657464,0.17092594672411504,0.03246781508143067,0.3316665446214681,0.059145684841458136
MCCAY_LITTLENEMO_090,0.6652431632732866,0.8424374602807788,0.7434276891030194,0.07963521425755359,0.6047431971806575,0.14073750215783257,0.1543098714017665,0.5565766776986374,0.24162864150287625
MCCAY_LITTLENEMO_168,0.7145075928418848,0.8147882261425581,0.7613600546212581,0.4580358630417212,0.8354163736904578,0.5916734284510349,0.3145866553479177,0.16180842453703204,0.2136998186232904
MIDAM_GAMEOVER_T05_004,0.9679629097182288,0.892594139208707,0.9287519785369689,0.0,0.0,0.0,0.26229131515101,0.7717658599958904,0.39152086997165336
MIDAM_KIDPADDLE7_005,0.987289731975922,0.9360204180230369,0.9609717368095362,0.6173877305245853,0.08608955542153822,0.1511083195020019,0.7423509117113276,0.8261842486680638,0.7820272643323192
